,Radius,BStrength,ApexHeight,OrientationCme,iHelicity,realization,FactorB0,PoyntingFluxPerBSi,LperpTimesSqrtBSi
61,0.2975,0.25939826848579073,0.30026959728813557,0.5375,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
62,0.6675000000000001,0.39049150765598384,0.7093585803389829,0.6174999999999998,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
63,0.9974999999999999,0.2060865650206708,0.6414899362711863,0.5825000000000001,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
64,0.35750000000000004,0.4233544665909086,0.41716790237288126,0.6975,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
65,0.6925,0.10240708742624624,0.42477065627118643,0.5575000000000001,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
66,0.4425,0.213693352807349,0.35062658847457623,0.02250000000000006,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
67,0.5025000000000001,0.2572362397953137,0.5566668433898304,0.41749999999999987,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
68,0.3975000000000001,0.5416126725181668,0.2643352759322034,0.8475,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
69,0.04249999999999998,0.5927546996748908,0.1644655715254237,0.2575000000000001,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
70,0.6224999999999999,0.3172833401887446,0.41201536000000005,0.10750000000000012,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
71,0.02749999999999997,0.6212668086550148,0.06856091118644068,0.8524999999999999,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
72,0.7975,0.06384477062258753,0.6765005301694914,0.5975,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
73,0.48250000000000004,0.2180292716764618,0.41489036067796603,0.9575000000000001,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
74,0.4275000000000001,0.3608857028655619,0.3156435376271186,0.6375,0.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
75,0.9725,0.15258969829218924,0.8737494698305085,0.3075000000000001,1.0,0.8181818181818182,0.35259259259259257,0.005643000000000029,0.9371937037037037
